date,infl_rate,ppi,gdp_pct_change,int_3m,cons_conf,unm_rate
2023-11-01,0.0014106802143973862,252.856,1.1773225374974494,5.41,97.56221,3.7
2023-12-01,0.002103301989373252,249.866,1.1773225374974494,5.32,98.1097,3.8
2024-01-01,0.0034301261599751776,251.306,1.1559613438429706,5.26,98.91297,3.7
2024-02-01,0.003963924414288167,254.926,1.1559613438429706,5.22,98.91297,3.9
2024-03-01,0.0034884992058441533,255.095,1.1559613438429706,5.29,98.91297,3.9
2024-04-01,0.002912462713108077,256.978,1.3717302036967638,5.33,98.91297,3.9
2024-05-01,0.0003961458839163434,255.313,1.3717302036967638,5.33,98.91297,4.0
2024-06-01,-2.8741138149102063e-05,255.914,1.3717302036967638,5.28,98.91297,4.1
2024-07-01,0.001389194937581939,257.321,1.2344609386162775,5.31,98.91297,4.2
2024-08-01,0.001801853517281904,255.463,1.2344609386162775,5.12,98.91297,4.2
2024-09-01,0.0022920373984103293,252.682,1.2344609386162775,4.86,98.91297,4.1
2024-10-01,0.002264563237849071,253.081,1.1735625847279163,4.62,98.91297,4.1
2024-11-01,0.002804502414724075,253.196,1.1735625847279163,4.53,98.91297,4.2
2024-12-01,0.0036467171645351293,253.406,1.1735625847279163,4.46,98.91297,4.1
2025-01-01,0.004669351360031326,257.202,1.1735625847279163,4.33,98.91297,4.0
2025-02-01,0.002159292479143371,259.726,1.1735625847279163,4.33,98.91297,4.1
